feature,importance
counts__bitcoin_volume_spike_20,0.030612244897959218
counts__tweet_count,0.027210884353741527
counts__revenue,0.023809523809523836
counts__model,0.020408163265306145
counts__buy,0.020408163265306145
counts__inflation,0.0187074829931973
counts__starship,0.017006802721088454
counts__price,0.017006802721088454
scores__travel_adventure,0.017006802721088454
counts__cybertruck,0.015306122448979664
counts__bitcoin_stockprice_bb_mean_20,0.015306122448979664
counts__bitcoin_stockprice_macd_line,0.015306122448979664
counts__spacex,0.015306122448979664
scores__disgust,0.015306122448979664
scores__neu,0.013605442176870763
counts__interest,0.013605442176870763
counts__profit,0.011904761904761973
counts__quoteCount,0.011904761904761973
counts__replyCount,0.011904761904761973
scores__diaries_daily_life,0.010204081632653073
scores__anger,0.010204081632653073
counts__loss,0.010204081632653073
counts__retweetCount,0.010204081632653073
counts__bitcoin_stockprice_sma_20,0.008503401360544283
counts__bitcoin_stockprice_rsi_14,0.008503401360544283
binary__is_trading_day,0.008503401360544283
counts__bitcoin_stockprice_bb_upper_20,0.008503401360544283
scores__arts_culture,0.008503401360544283
counts__nlp_tweet_count,0.008503401360544283
counts__tesla,0.006802721088435382
scores__youth_student_life,0.006802721088435382
scores__polarized,0.006802721088435382
counts__bitcoin_obv,0.006802721088435382
counts__bitcoin_stockprice_bb_lower_20,0.006802721088435382
counts__bitcoin_adx_14,0.005102040816326592
scores__neutral,0.005102040816326592
scores__business_entrepreneurs,0.005102040816326592
counts__bitcoin_stockprice_ema_26,0.005102040816326592
scores__other_hobbies,0.005102040816326592
counts__bitcoin_volume,0.005102040816326592
counts__likeCount,0.005102040816326592
counts__sell,0.005102040816326592
counts__market,0.003401360544217691
scores__fashion_style,0.003401360544217691
scores__celebrity_pop_culture,0.003401360544217691
counts__crypto,0.003401360544217691
counts__bitcoin_volatility,0.003401360544217691
counts__bitcoin_stockprice,0.003401360544217691
scores__gaming,0.003401360544217691
scores__learning_educational,0.001700680272108901
scores__sports,0.001700680272108901
scores__news_social_concern,0.001700680272108901
scores__neg,0.001700680272108901
counts__bitcoin_volatility_std_10,0.001700680272108901
scores__film_tv_video,0.001700680272108901
scores__fitness_&_health,0.001700680272108901
scores__Openness,0.001700680272108901
scores__pos,0.001700680272108901
scores__science_technology,0.0
counts__bitcoin_stockprice_momentum_21,0.0
scores__music,0.0
counts__ethereum,0.0
scores__surprise,0.0
binary__no_tweets,0.0
scores__fear,0.0
scores__relationships,0.0
scores__Extroversion,-0.00170068027210879
counts__dogecoin,-0.00170068027210879
counts__bitcoin,-0.00170068027210879
counts__bitcoin_avg_volume_20,-0.00170068027210879
scores__joy,-0.00170068027210879
scores__Agreeableness,-0.00170068027210879
scores__Conscientiousness,-0.00170068027210879
scores__Neuroticism,-0.00170068027210879
scores__family,-0.003401360544217691
counts__stock,-0.005102040816326481
scores__sadness,-0.005102040816326481
scores__food_&_dining,-0.006802721088435382
