feature,importance
counts__likeCount,0.0357142857142857
binary__is_trading_day,0.027210884353741527
counts__sell,0.015306122448979553
counts__nlp_tweet_count,0.011904761904761862
counts__interest,0.008503401360544172
counts__sp500_volatility_std_10,0.006802721088435382
counts__sp500_stockprice_macd_line,0.006802721088435382
scores__fear,0.005102040816326481
counts__sp500_volume_spike_20,0.005102040816326481
scores__film_tv_video,0.005102040816326481
counts__price,0.003401360544217691
scores__neutral,0.003401360544217691
scores__surprise,0.003401360544217691
scores__pos,0.003401360544217691
scores__anger,0.003401360544217691
counts__sp500_avg_volume_20,0.003401360544217691
counts__sp500_stockprice_bb_upper_20,0.003401360544217691
scores__celebrity_pop_culture,0.003401360544217691
scores__joy,0.00170068027210879
scores__business_entrepreneurs,0.00170068027210879
counts__sp500_stockprice_sma_20,0.00170068027210879
counts__sp500_volume,0.00170068027210879
counts__dogecoin,0.00170068027210879
counts__inflation,0.00170068027210879
counts__tweet_count,0.00170068027210879
scores__fitness_&_health,0.00170068027210879
scores__fashion_style,0.00170068027210879
scores__family,0.00170068027210879
counts__crypto,0.0
counts__bitcoin,0.0
scores__sports,0.0
binary__no_tweets,0.0
scores__science_technology,0.0
scores__other_hobbies,0.0
scores__food_&_dining,0.0
counts__loss,0.0
scores__Conscientiousness,0.0
scores__diaries_daily_life,0.0
scores__neg,0.0
scores__neu,0.0
scores__Extroversion,0.0
counts__sp500_stockprice_ema_26,0.0
counts__sp500_stockprice_bb_mean_20,0.0
counts__ethereum,0.0
counts__spacex,0.0
scores__polarized,0.0
scores__Agreeableness,0.0
scores__disgust,0.0
scores__gaming,-0.001700680272108901
counts__sp500_obv,-0.001700680272108901
counts__profit,-0.001700680272108901
scores__music,-0.001700680272108901
counts__sp500_adx_14,-0.001700680272108901
scores__travel_adventure,-0.001700680272108901
scores__relationships,-0.001700680272108901
counts__sp500_stockprice,-0.001700680272108901
scores__Neuroticism,-0.001700680272108901
scores__arts_culture,-0.001700680272108901
counts__sp500_stockprice_rsi_14,-0.001700680272108901
counts__model,-0.001700680272108901
counts__replyCount,-0.003401360544217691
scores__sadness,-0.003401360544217691
scores__Openness,-0.003401360544217691
scores__learning_educational,-0.003401360544217691
scores__youth_student_life,-0.003401360544217691
counts__sp500_volatility,-0.003401360544217691
counts__quoteCount,-0.005102040816326592
counts__starship,-0.005102040816326592
counts__cybertruck,-0.005102040816326592
counts__sp500_stockprice_bb_lower_20,-0.006802721088435382
counts__buy,-0.006802721088435382
counts__sp500_stockprice_momentum_21,-0.006802721088435382
counts__revenue,-0.010204081632653073
counts__stock,-0.010204081632653073
scores__news_social_concern,-0.011904761904761973
counts__market,-0.013605442176870763
counts__tesla,-0.017006802721088454
counts__retweetCount,-0.020408163265306145
