feature,importance
counts__bitcoin_volume_spike_20,0.009975062344139696
counts__buy,0.009975062344139696
counts__likeCount,0.007481296758104772
counts__bitcoin_stockprice,0.007481296758104772
counts__bitcoin_stockprice_bb_mean_20,0.007481296758104772
counts__crypto,0.004987531172069848
scores__joy,0.004987531172069848
counts__retweetCount,0.004987531172069848
scores__neg,0.004987531172069848
scores__music,0.004987531172069848
scores__arts_culture,0.004987531172069848
scores__Extroversion,0.004987531172069848
scores__Neuroticism,0.002493765586034924
counts__bitcoin_stockprice_rsi_14,0.002493765586034924
scores__fear,0.002493765586034924
scores__fitness_&_health,0.002493765586034924
scores__Agreeableness,0.002493765586034924
scores__film_tv_video,0.002493765586034924
scores__sports,0.002493765586034924
scores__news_social_concern,0.002493765586034924
scores__food_&_dining,0.002493765586034924
counts__bitcoin_volatility,0.002493765586034924
counts__bitcoin_stockprice_macd_line,0.002493765586034924
scores__polarized,0.002493765586034924
scores__disgust,0.0
counts__dogecoin,0.0
counts__loss,0.0
scores__Openness,0.0
scores__gaming,0.0
scores__family,0.0
scores__relationships,0.0
scores__other_hobbies,0.0
binary__no_tweets,0.0
counts__bitcoin_stockprice_momentum_21,0.0
counts__ethereum,0.0
counts__bitcoin_volatility_std_10,0.0
scores__science_technology,0.0
counts__model,-0.0024937655860348684
counts__tesla,-0.0024937655860348684
counts__tweet_count,-0.0024937655860348684
counts__profit,-0.0024937655860348684
counts__bitcoin_volume,-0.0024937655860348684
scores__anger,-0.0024937655860348684
scores__neutral,-0.0024937655860348684
scores__business_entrepreneurs,-0.0024937655860348684
counts__bitcoin,-0.0024937655860348684
scores__learning_educational,-0.0024937655860348684
scores__fashion_style,-0.0024937655860348684
counts__bitcoin_stockprice_bb_lower_20,-0.0024937655860348684
counts__bitcoin_stockprice_bb_upper_20,-0.0024937655860348684
counts__bitcoin_obv,-0.0024937655860348684
counts__bitcoin_stockprice_sma_20,-0.0024937655860348684
scores__pos,-0.0024937655860348684
scores__Conscientiousness,-0.0024937655860348684
counts__bitcoin_adx_14,-0.004987531172069792
counts__quoteCount,-0.004987531172069792
scores__sadness,-0.004987531172069792
scores__surprise,-0.004987531172069792
scores__youth_student_life,-0.004987531172069792
scores__neu,-0.004987531172069792
counts__nlp_tweet_count,-0.004987531172069792
counts__bitcoin_stockprice_ema_26,-0.004987531172069792
scores__diaries_daily_life,-0.007481296758104716
scores__celebrity_pop_culture,-0.007481296758104716
counts__replyCount,-0.007481296758104716
counts__cybertruck,-0.007481296758104716
counts__interest,-0.007481296758104716
counts__market,-0.007481296758104716
counts__price,-0.00997506234413964
counts__inflation,-0.00997506234413964
counts__spacex,-0.00997506234413964
binary__is_trading_day,-0.00997506234413964
counts__sell,-0.00997506234413964
counts__starship,-0.00997506234413964
counts__bitcoin_avg_volume_20,-0.012468827930174564
scores__travel_adventure,-0.012468827930174564
counts__stock,-0.014962593516209433
counts__revenue,-0.017456359102244356
