feature,importance
counts__revenue,0.02244389027431426
counts__quoteCount,0.017456359102244412
binary__is_trading_day,0.017456359102244412
counts__bitcoin_obv,0.017456359102244412
counts__bitcoin_volume,0.014962593516209544
counts__bitcoin_stockprice_momentum_21,0.012468827930174564
counts__bitcoin_stockprice_bb_upper_20,0.012468827930174564
scores__sports,0.012468827930174564
scores__neg,0.009975062344139696
scores__sadness,0.009975062344139696
counts__bitcoin_volatility,0.007481296758104716
scores__disgust,0.007481296758104716
scores__business_entrepreneurs,0.007481296758104716
counts__tweet_count,0.004987531172069848
scores__Extroversion,0.004987531172069848
scores__film_tv_video,0.004987531172069848
scores__science_technology,0.004987531172069848
scores__gaming,0.004987531172069848
scores__polarized,0.004987531172069848
counts__buy,0.004987531172069848
scores__joy,0.004987531172069848
scores__Openness,0.004987531172069848
counts__stock,0.004987531172069848
counts__interest,0.004987531172069848
scores__neu,0.0024937655860349794
counts__inflation,0.0024937655860349794
scores__food_&_dining,0.0024937655860349794
scores__travel_adventure,0.0024937655860349794
counts__bitcoin_stockprice_rsi_14,0.0024937655860349794
scores__fitness_&_health,0.0024937655860349794
counts__replyCount,0.0024937655860349794
counts__starship,0.0024937655860349794
counts__sell,0.0024937655860349794
counts__bitcoin_adx_14,0.0024937655860349794
counts__bitcoin_avg_volume_20,0.0024937655860349794
scores__fashion_style,0.0
counts__bitcoin,0.0
counts__dogecoin,0.0
counts__loss,0.0
scores__music,0.0
binary__no_tweets,0.0
scores__learning_educational,0.0
counts__bitcoin_stockprice_bb_lower_20,0.0
scores__Agreeableness,0.0
counts__bitcoin_stockprice_macd_line,0.0
counts__bitcoin_stockprice_sma_20,0.0
counts__model,0.0
counts__ethereum,0.0
counts__retweetCount,0.0
scores__Conscientiousness,0.0
scores__fear,0.0
counts__crypto,-0.0024937655860348684
counts__price,-0.0024937655860348684
counts__bitcoin_stockprice,-0.0024937655860348684
scores__Neuroticism,-0.0024937655860348684
scores__neutral,-0.0024937655860348684
scores__family,-0.0024937655860348684
counts__bitcoin_volume_spike_20,-0.0024937655860348684
scores__surprise,-0.0024937655860348684
counts__bitcoin_volatility_std_10,-0.0024937655860348684
scores__pos,-0.0024937655860348684
counts__market,-0.004987531172069848
counts__cybertruck,-0.004987531172069848
scores__anger,-0.004987531172069848
counts__profit,-0.004987531172069848
scores__news_social_concern,-0.004987531172069848
counts__bitcoin_stockprice_bb_mean_20,-0.004987531172069848
counts__tesla,-0.007481296758104716
counts__nlp_tweet_count,-0.007481296758104716
counts__likeCount,-0.007481296758104716
scores__celebrity_pop_culture,-0.007481296758104716
counts__spacex,-0.007481296758104716
scores__relationships,-0.009975062344139585
scores__diaries_daily_life,-0.009975062344139585
scores__youth_student_life,-0.009975062344139585
scores__other_hobbies,-0.009975062344139585
counts__bitcoin_stockprice_ema_26,-0.012468827930174564
scores__arts_culture,-0.012468827930174564
